"title","url","image","openTypeList","detail","baseInfoKeyList","baseInfoValueList"
"Rule","http://www.baike.com/wiki/Rule","//www.huimg.cn/entry/images/summary_default270x233.png","","Ayumi Hamasaki2009年第一张全新单曲「Rule/Sparkle」，其中，主打曲《Rule》应邀成为由20世纪福克斯发行的好莱坞真人版电影《Dragonball:Evolution（龙珠：全新进化）》的全球版主题曲，并由滨崎步本人亲自创作。并邀请漫画《七龙珠》原作者鸟山明先生亲自设计此次单曲CD盘面。此外，《Dragonball:Evolution》将于3月13日开始全球首映。","英文名：##作词者：##发行时间：##歌曲原唱：","rule##滨崎步##2009年##Ayumi Hamasaki"
"杨淑艳","http://www.baike.com/wiki/杨淑艳","//www.huimg.cn/entry/images/summary_default270x233.png","农民","此词条暂无内容，欢迎您参与编辑，享受分享贡献知识的乐趣。建议您在编辑词条之前，可先参考帮助中心文档，了解更多关于词条规范的信息。同时也可先熟悉编辑器的使用。若有疑问，欢迎联系： 在线提问：帮助小组联系我们友情提示：编写内容之前需删除以上内容。","",""
"耧[农具]","http://www.baike.com/wiki/耧[农具]","http://a3.att.hudong.com/72/13/50200009239445155331138605470_s.jpg","农具","耧是古代的播种用的农具。由牲畜牵引，后面有人扶着，可以同时完成开沟和下种两项工作。一次种一垄或，多垄，传统的最多达5垄。其农作工具为现在播种机的前身，用耧播种。亦称“耩地”。耧 也叫耧犁。据东汉崔寔《政论》记载，耧犁是西汉武帝时搜粟都尉赵过所发明，其使用方法和功效是：“三犁共一牛，一人将之，下种挽耧，皆取备焉，日种一顷。”这种耧犁就是现在北方农村还在使用的三脚耧车。耧车有独脚、二脚、三脚、甚至四脚数种，以二脚、三脚较为普遍。王祯《农书· 耒耜门》记载，两脚耧的具体结构为：“两柄上弯，高可三尺，两足中虚，阔合一垄，横桄四匝，中置耧斗，其所盛种粒各下通足窍。仍旁挟两辕，可容一牛，用一人牵，傍一人执耧，且行且摇，种乃自下。”","拼音：##繁体：##笔画：##部首：##释义：","lóu##耬##15##耒##耧 (形声。从耒,,娄声。从“耒”。表示与原始农具有关。本义:下种用的农具名,即“耧车”)同本义 用的农具);耧播(用耧车播种) 耧车"
"水磨房[景点]","http://www.baike.com/wiki/水磨房[景点]","http://a0.att.hudong.com/07/20/20300543377028143989204573087_s.jpg","农具##民俗","水磨房位于云南省丽江市玉龙纳西族自治县老君山黎明景区内。","中文名：##所在地：##气候类型：","水磨房##云南省丽江市玉龙纳西族自治县##温带气候"
"水磨房[工具]","http://www.baike.com/wiki/水磨房[工具]","http://a4.att.hudong.com/61/05/20300543932868147641059994643_s.jpg","农具##民俗","水磨房，又称水磨坊，为五谷制作面粉的作坊，井字形的梁柱缠绕着胳膊粗的绳索，中间悬吊着厚重的石磨盘与下扇磨盘磨合在一起，下扇由水轮驱动。磨盘旁凌空的两根木条上架着长方形的木质面罗，由于手臂推拉做水平运动分离出面粉与麸皮。展示民间以水为动力的立轮带卧轮再带动冲天柱进行磨面的传统工艺。","中文名：##别称：##优点：##组成：","水磨房##水磨坊##节约能源，无污染##引水道、水轮、磨盘、磨轴"
"复旦大学生命科学学院","http://www.baike.com/wiki/复旦大学生命科学学院","http://a0.att.hudong.com/07/65/50200009239445155330653831351_s.jpg","学校##教育##文化","复旦大学生命科学学院由中国遗传学奠基人谈家桢教授创立于1986年，是我国最早在大学中成立的生命科学学院，其前身为1926年成立的复旦大学生物学系，是国家生物学基础科研和教学人才培养基地，也是国家生命科学和生物技术人才培养基地。首任院长为谈家桢教授，现任院长为马红教授。","中文名：##创建时间：##学生人数：##教师人数：##博士后流动站：##目标定位：","复旦大学生命科学学院##1986年##1000余人##240人##1##以创建国际有影响的、高水平的生命科学学院为奋斗目标"
"洁如新多功能清洁膏","http://www.baike.com/wiki/洁如新多功能清洁膏","http://a0.att.hudong.com/23/06/50200009239445155571068005846_s.jpg","环保##生物技术","洁如新品牌，自创立以 来，以低碳环保为诉求，传播全中国，营造环保的生活态度，它的目标是融入中国广大百姓的生活中，让多数人使用洁如新清洁保养 品，一起享受清晰，亮丽的环境，让品牌和文化之间的连带效应继续在全中国扩张，给人们创造洁净如新的美好环境。洁如新以超低加盟门槛引进中小创业投资者，不收任何加盟费用，赠送价值几万 元的市场返点，提供业务培训方案，从加盟到产品到物流到经营管理一条龙服务，借助厂家雄厚的生产实力，以JIERUX惊人的研发能力，多渠道拓展和品牌推广，帮助加盟者 从创业到拓展，从无到有，从小到大，一路扶持，同舟共济。","",""
"抗体检测","http://www.baike.com/wiki/抗体检测","http://a0.att.hudong.com/74/21/50200009239445155331215303243_s.jpg","生物工程##生物技术","特异性抗体检测的目的首先是协助临床诊断，在某些疾病中亦是观察疗效及预后的一个指标，预防接种效果的观察，以及传染病流行病学调查中，特异性抗体的检测也具有特殊的、重要的意义。","",""
"克隆工厂[网语]","http://www.baike.com/wiki/克隆工厂[网语]","http://a2.att.hudong.com/77/06/01300000247011131243062640957_s.jpg","IN词##克隆##基因##生物##生物技术","东京“克隆工厂”可以为你制作栩栩如生的玩具人偶。","",""
"灭生性除草剂","http://www.baike.com/wiki/灭生性除草剂","//www.huimg.cn/entry/images/summary_default270x233.png","农业##农药##物理化学##生物学##除草剂","对植物缺乏选择性或选择性小的除草剂。又称非选择性除草剂（non-selective herbicide)。","",""
"牡蛎肽","http://www.baike.com/wiki/牡蛎肽","http://a1.att.hudong.com/63/93/20300543863594154286938898648_s.jpg","产品##生物技术","牡蛎肽是将肽分子生物技术运用于牡蛎加工过程，经酶解制成牡蛎肽。这种制作方法形成的小分子低聚肽，完全保留了牡蛎原有的维生素、微量元素和牛磺酸等营养成份，使富含核酸的牡蛎在人体摄入后比单一氨基酸或蛋白质吸收更快，更容易被肌体吸收，在人体代谢方面有着更重要的生物活性，可以有效提高男性血清睾酮水平。比普通牡蛎制品有更高的生物效价、更重要的生理功能。","中文名：##英文名：##含有：##提取：##外观：##应用：##相关词：","牡蛎肽##Oyster peptide##蛋白质、维生素、微量元素等##在牡蛎中提取##淡黄色粉末##男性保健品##康夕牡蛎肽"
"so.baike.com","http://so.baike.com","","","","",""
"so.baike.com","http://so.baike.com","","","","",""
"Quin","http://www.baike.com/wiki/Quin","//www.huimg.cn/entry/images/summary_default270x233.png","Q开头单词##英文单词##英语","quin n =quin tuplet","",""
"southern印迹","http://www.baike.com/wiki/southern印迹","//www.huimg.cn/entry/images/summary_default270x233.png","分子生物学##遗传学术语","Southern印迹，又称DNA印渍术，是将存在于凝胶中的DNA分子转移（印渍）于固定化介质上并加以检测分析的技术。","",""
"杀草丹","http://www.baike.com/wiki/杀草丹","http://a1.att.hudong.com/77/85/50200009239445155356857854052_s.jpg","农业##农药##物理化学##生物学##药剂学","杀草丹是一种选择性、内吸传导型除草剂，可被杂草根部及幼牙吸收,抑制其蛋白质的合成。产品主要用于防除水田中的稗草、牛毛毡、鸭舌草、瓜皮草等,也可用于防除旱田马唐、狗尾、野燕麦等。","",""
"食品生物技术[学科]","http://www.baike.com/wiki/食品生物技术[学科]","http://a0.att.hudong.com/70/70/50200009239445155514707336165_s.jpg","生物技术##食品","食品生物技术（food biotechnology）是生物技术在食品原料生产、加工和制造中的应用的一个学科。它包括了食品发酵和酿造等最古老的生物技术加工过程，也包括了应用现代生物技术来改良食品原料的加工品质的基因、生产高质量的农产品、制造食品添加剂、植物和动物细胞的培养以及与食品加工和制造相关的其他生物技术，如酶工程、蛋白质工程和酶分子的进化工程等。","中文名：##英文名：##范畴：##内容：","食品生物技术##Food biotechnology##食品原料生产、加工和制造##食品发酵和酿造等"
"石拓[厦门大学教授]","http://www.baike.com/wiki/石拓[厦门大学教授]","http://a0.att.hudong.com/56/71/20300543391414143876714856123_s.jpg","浮游植物##环境##生物技术","石拓，厦门大学海洋与地球学院教授、博士生导师。","",""
"西安生物医药学院","http://www.baike.com/wiki/西安生物医药学院","http://a2.att.hudong.com/15/20/50200009239445155794208332835_s.jpg","生物医学工程##生物技术","西安生物医药技术专修学院是由西安市教育局管理的一所全日制健康相关专业学院。自2003年创办以来，学院坚持以开办生物医药技术为特色，以培养健康产业实用人才为定位，以实行校企合作直通就业为模式，目前已发展成为我国生物与健康产业实用人才培养基地之一。荣获“改革开放三十年·陕西职业教育成就奖”的特色职业院校，被国家教育部调研组誉为“校企合作的先锋”。","中文名：##外文名：##别称：##创办时间：##学校类别：##学校类型：##学校属性：##所属地区：##知名校友：##主管部门：##校训：##学校地址：##类别：##主管部门：","西安生物医药学院##Xi'an Biological Technical College##西安生物学院##2003年##大学##职业教育##全日制##陕西省##赵飞、祁永财##西安市教育局##仁民爱物，修身立业##西安市雁塔区鱼化工业园北岳路1号##医学健康类##西安市教育局"
"杭州西溪国家湿地公园","http://www.baike.com/wiki/杭州西溪国家湿地公园","http://a4.att.hudong.com/34/16/01300000016998120606160387558_s.jpg","中国湿地##公园##地形地貌##地理##湿地","位于浙江省杭州市区西部，是罕见的城中次生湿地。曾与西湖、西泠并称杭州“三西”，是目前国内第一个也是唯一的集城市湿地、农耕湿地、文化湿地于一体的国家湿地公园。","中文名：","杭州西溪国家湿地公园"
"浙江省林业科学研究院","http://www.baike.com/wiki/浙江省林业科学研究院","http://a2.att.hudong.com/36/07/50200009239445155662079535640_s.jpg","机构##林业","浙江省林业科学研究院成立于1958年，是全省唯一的省级综合性纯公益类林业科研院所，综合实力位居全国林业科研院所前列。下设4个职能部门、6个研究所、2个中心和1个林场，在森林培育、森林生态、竹子产业、林产化工、森林食品、林产品精深加工等研究领域开展研究。承建了“森林食品资源利用与质量控制国家林业局重点实验室”“国家林业局竹笋工程技术研究中心”“浙江杭州城市森林生态系统国家定位观测研究站”“浙江省竹类研究重点实验室”“浙江省森林资源生物与化学利用重点实验室”“浙江省森林食品研究重点实验室”等一批部省级创新平台。","",""
"安玉13","http://www.baike.com/wiki/安玉13","http://a0.att.hudong.com/38/79/20300543149488144600792262851_s.jpg","农业##农作物##植物##生物##自然","安玉13，属于禾本科，禾本目，是由河南省安阳市农业科学研究所选育，适宜在北京、天津、山西、辽宁沈阳和锦州地区、吉林四平地区、内蒙古赤峰地区、陕西延安地区，河北北部地区春播种植的一种玉米品种。","中文学名：##界：##门：##纲：##目：##科：##属：","安玉13##植物界##被子植物##单子叶植物##禾本##禾本##玉米"
"宝农12","http://www.baike.com/wiki/宝农12","http://a2.att.hudong.com/30/76/20300542608910143350760824701_s.jpg","农作物##生物##自然","宝农12是由上海市宝山区农业良种场选育的中熟晚粳品种，1999年通过国家农作物品种审定委员会审定。","中文学名：##界：##门：##纲：##科：","宝农12##植物界##种子植物门##单子叶植物纲##禾本科"
"安豆1号","http://www.baike.com/wiki/安豆1号","http://a2.att.hudong.com/20/17/01300001164321132072173072245_s.jpg","农业##农作物##生物##种子##自然","安豆1号是安阳市农业科学院选育大豆种子，有限结荚习性，生育期113天。株高 86.4cm，有效分枝2.7个，主茎节数17.4个，籽粒圆形，种皮黄色，褐色脐。夏直播宜在6月上中旬，最迟不能晚于6月20日。","中文学名：##界：##门：##纲：##目：##科：##属：","安豆1号##植物界##被子植物门##双子叶植物纲##豆目##豆科##大豆属"
"川丰2号","http://www.baike.com/wiki/川丰2号","http://a2.att.hudong.com/50/75/20300542608910143365755723480_s.jpg","农作物##生物##自然","川丰2号（原名冈优364）是由四川省种子站、四川省川丰种业育种中心、四川省江油市种子公司共同选育的中籼迟熟杂交水稻组合，2000年通过农作物品种审定委员会审定。","中文学名：##界：##门：##纲：##目：##科：##属：","川丰2号##植物界##被子植物门##单子叶植物纲##禾本目##禾本科##稻属"
"川芋早","http://www.baike.com/wiki/川芋早","http://a2.att.hudong.com/43/50/20300542608910143367509393863_s.jpg","农作物##生物##自然","川芋早是由四川省农业科学院作物研究所选育而成，亲本组合为7032-2×燕子。1991年通过四川省农作物品种审定委员会审定，1998年通过全国农作物品种审定委员会审定。","中文学名：##界：##纲：##目：##科：","川芋早##植物界##双子叶植物纲##茄目##茄科"
"川油36","http://www.baike.com/wiki/川油36","http://a4.att.hudong.com/62/94/01300001164321132045949411952_s.jpg","农作物##生物##种子##自然","川油36是甘蓝型半冬性细胞质雄性不育三系杂交油菜种。全生育期平均233天，平均株高155.7厘米，匀生分枝类型，一次有效分枝数8.41个，单株有效角果数543.5个，每角粒数20.48粒，千粒重3.96克。","中文学名：##界：##纲：##目：##科：","川油36##植物界##单子叶植物纲##禾本目##禾本科"
"成豆11号","http://www.baike.com/wiki/成豆11号","http://a2.att.hudong.com/23/50/20300543523714147720509126826_s.jpg","农业##农作物##植物##生物##自然","成豆11号是1998年从中国农科院中作M4397变异株系选，于2002年育成。植物界，双子叶植物纲，豆目，豆科，菜豆族、大豆亚族，大豆属。属早熟春大豆品种，春播全生育期105-110天。抗病毒病和抗倒伏性较好。分布：适宜四川丘陵和成都平原地区春、夏、秋种植，尤其适合作秋闲田（土）的增种品种。","中文学名：##别名：##界：##族：##门：##纲：##亚纲：##目：##科：##亚科：##属：##种：##亚种：","成豆11号##成豆11号大豆##植物界##菜豆族、大豆亚族##被子植物门(Angiospermae)##双子叶植物纲(Magnoliopsida)，又称木兰纲##蔷薇亚纲(Rosidae)##豆目(Fabales)##豆科(Leguminosae)##蝶形花亚科(Papilionoideae)##大豆属(Glycine)##大豆##成豆11号"
"抽苔","http://www.baike.com/wiki/抽苔","http://a0.att.hudong.com/55/48/50200009239445155357489546110_s.jpg","农作物##农学名词##植物##生物化学##自然","抽苔，同“抽薹”。主要是由于节间伸长进入营养生长的丛生型植物的茎，受到温度和日照长度等环境变化的刺激，随着花芽的分化，茎开始迅速伸长，植株变高，此现象称为抽薹。 属于现代衍生词（错别字），指的是油菜、韭菜等蔬菜长出花茎。","中文学名：","抽苔"
"持续农业","http://www.baike.com/wiki/持续农业","http://a0.att.hudong.com/08/97/20300543498968144625973049646_s.jpg","农业##农作物##农学名词##植物##经济学##自然##自然辩证法名词","持续农业是一种“不造成环境退化、技术上适当、经济上可行、社会上能接受的”农业。概括地说，它是经济、社会、技术与环境协调发展的农业。","中文学名：","持续农业"
"春花椰菜","http://www.baike.com/wiki/春花椰菜","http://a3.att.hudong.com/52/89/50200009239445155570894553982_s.jpg","农业##农作物##植物##生物##自然","春花椰菜是在冬季育苗，早春定植在露地或塑料棚内，初夏收获的花椰菜。这种栽培方式在中国北方利用较多，是花椰菜的主要栽培方式。","中文学名：##界：##门：##纲：##属：","春花椰菜##植物界##被子植物##双子叶植物##椰菜"
"春薯4号","http://www.baike.com/wiki/春薯4号","//www.huimg.cn/entry/images/summary_default270x233.png","农作物","春薯4号是由吉林省蔬菜花卉科学研究所用文胜4号×克新2号选育而成，该品种植株直立，株高90厘米左右。1993年通过吉林省农作物品种审定委员会审定，1997年通过全国农作物品种审定委员会审定。适宜吉林、内蒙古东部地区、黑龙江、辽宁、福建等地种植。","中文学名：","春薯4号"
"川油21","http://www.baike.com/wiki/川油21","http://a3.att.hudong.com/68/69/20300544348252151144691024903_s.jpg","农作物##植物","川油21，属甘蓝型半冬性质不育三系杂交种。中熟。 属双低品种。该品种符合国家油菜品种审定标准，通过审定。适宜在四川、云南、重庆、贵州省冬油菜区种植。","中文学名：","川油21"
"楚椒808","http://www.baike.com/wiki/楚椒808","//www.huimg.cn/entry/images/summary_default270x233.png","农作物","作物种类：辣椒 品种名称：楚椒808 品种来源：湖北省农业科学院经济作物研究所用“9962”作母本，“9908”作父本配组育成的杂交辣椒品种。2008年通过湖北省农作物品种审定委员会审（认）定，品种审定编号为鄂审菜2008004。","中文学名：","楚椒808"
"残留","http://www.baike.com/wiki/残留","//www.huimg.cn/entry/images/summary_default270x233.png","","残留，少量地遗留下来。","",""
"川香优6号","http://www.baike.com/wiki/川香优6号","http://a0.att.hudong.com/62/41/20300000044935132115419832760_s.jpg","农作物##植物##生物##自然","川香优6号：川香优6号系四川省农业科学院作物研究所用川香29A与成恢178组配而成的优质杂交香稻新组合。 南方稻区长江上游中籼迟熟优质B组国家品种试验：川香优6号，2003年初试平均亩产585.29公斤，比汕优63（CK）增产3.25%，达极显著水平，比汕优63（CK）增产点比例为61.1%。全生育期158.8天，比对照迟熟4.6天。主要农艺性状表现：植株略高、株型偏紧、叶色淡绿、叶姿挺直、分蘖力强、田间长势繁茂、穗粒结构协调、熟期偏迟，每亩有效穗数16.5万，株高116.4cm，穗长25.4cm ，每穗总粒数164.9粒，结实率79.1%，千粒重28.7克。抗性：稻瘟病穗瘟损失最高级1级，抗性综合指数3.0级；白叶枯病7级；褐飞虱9级。米质主要指标：整精米率65.8%，长宽比2.8，垩白粒率32%，垩白度6.1%，胶稠度76mm，直链淀粉含量21.1%。","中文学名：##界：##门：##纲：##目：##科：##属：","川香优6号##植物界##被子植物门##单子叶植物纲##禾本目##禾本科##稻属"
"常优1号","http://www.baike.com/wiki/常优1号","http://a1.att.hudong.com/84/12/01300001385827133614120872427_s.jpg","农作物##植物##生物##自然","常优1号，属粳型三系杂交水稻。该品种高感稻瘟病，中感白叶枯病，高感褐飞虱。加工品质和蒸煮品质较好，外观品质中上。适宜在湖北、安徽、浙江、江苏、上海市稻瘟病轻发区作单季晚稻种植。","中文学名：##界：##纲：##目：##科：##属：","常优1号##植物界##单子叶植物纲##禾本目##禾本科##稻属"
"冬油菜","http://www.baike.com/wiki/冬油菜","http://a2.att.hudong.com/46/87/50200009239445155330877671035_s.jpg","农作物","冬油菜，民俗用语。是指生长过程中需要越冬的油菜，是指秋播或秋冬交际时播种至第二年春季及夏季收获的油菜。 我国冬油菜种植主要集中在长江流域各省和云贵高原地区，气候温暖，雨量较多，为一年多熟区。主要种植甘蓝型油菜，秋播夏收，全生育期200多天。 冬油菜区油菜面积占全国油菜总面积90%以上。 冬油菜是越年生植物，可用于解决冬季农耕地闲置状态，可缩短农耕地闲置及无作物覆盖时间。可增加农耕地植被覆盖率及覆盖时间。 近年来，随着科研人员的逐步研究，我国的冬油菜种植区域及面积已逐步向北向西等冷寒区地带转移。使得原来不能种植冬油菜的甘肃、新疆等冷寒带区域也成为了冬油菜种植区域。","",""
"地形气候","http://www.baike.com/wiki/地形气候","http://a0.att.hudong.com/03/82/50200009239445155661826755985_s.jpg","农作物","地形气候是地球上某一地区同一地物和地貌多年时段大气的一般状态 ，是该时段各种天气过程的综合表现。按水平尺度大小，气候可分为大气候、中气候与小气候。大气候是指全球性和大区域的气候，如：热带雨林气候、地中海型气候、极地气候、高原气候等；中气候是指较小自然区域的气候，如：森林气候、城市气候、山地气候以及湖泊气候等；小气候是指更小范围的气候，如：贴地气层和小范围特殊地形下的气候（如一个山头或一个谷地）。地形气候是小气候的一种表现形式。","",""
"地面气温","http://www.baike.com/wiki/地面气温","http://a3.att.hudong.com/74/78/50200009239445155534784685573_s.jpg","农作物##天气百科","地面气温主要取决于地面辐射，地面辐射（或地的温度）取决于太阳辐射。","",""
"大黄梨","http://www.baike.com/wiki/大黄梨","http://a1.att.hudong.com/51/03/50200009239445155332034284007_s.jpg","农作物##梨##植物##水果##自然##食品","大黄梨个大、味浓、水份大、果形整齐均匀，果实脆，味浓可口，耐贮存。色泽鲜亮，平均单果重400克左右，最大果重1850克。","中文学名：##别名：##界：##门：##纲：##亚纲：##目：##亚目：##科：##亚科：##属：##种：","大黄梨##高平黄梨##植物界##被子植物门(Magnoliophyta)##双子叶植物纲(Magnoliopsida)，又称木兰纲。##蔷薇亚纲(Rosidae)##蔷薇目(Rosales)##蔷薇亚目(Rosineae)##蔷薇科(Rosaceae)##苹果亚科(Pomoideae或Maloideae)##梨属(Pyrus L.)##高平黄梨"
"德新油18","http://www.baike.com/wiki/德新油18","http://a1.att.hudong.com/76/20/20300001174716130562202048406_s.jpg","农作物##生物##种子##自然","德新油18为甘蓝型隐性核不育两系杂交种，全生育期平均224.9天，与油研10号相当。","中文学名：##界：##纲：##目：##科：","德新油18##植物界##双子叶植物纲##甘蓝目##甘兰科"
"德豆99-16","http://www.baike.com/wiki/德豆99-16","//www.huimg.cn/entry/images/summary_default270x233.png","农作物","该品种平均生育期108天,株高110.6厘米，有效分枝1.1个，单株有效荚数40.0个，单株粒数94.3粒，单株粒重15.8克，百粒重17.6克。","中文学名：","德豆99-16"
"打顶","http://www.baike.com/wiki/打顶","http://a1.att.hudong.com/18/74/50200009239445155666746618000_s.jpg","农作物##农学名词##植物##自然","打顶 ： dǎ dǐnɡ 掐去某些作物的顶尖，使之增产。也称打尖。是对预留的干枝、基本枝或侧枝进行处理的工作。打顶是根据栽培目的和方法，以及品种生长类型等方面来决定的。当预留的主干、基本枝、侧枝长到一定果穗数、叶片数（长度）时，将其顶端生长点摘除（自封顶主茎不必摘心）。可控制加高和抽长生长，有利于加粗生长和加速果实发育 。","中文学名：","打顶"
"割捆机","http://www.baike.com/wiki/割捆机","http://a4.att.hudong.com/17/61/50200009239445155661615449944_s.jpg","农作物","割捆机(grain binder)，收割谷类作物并自动将它捆成一定大小禾捆的收获机械。割捆机集割和捆于一身是农民收割时的好帮手好工具，深受人们的喜爱。","",""
"富优1号","http://www.baike.com/wiki/富优1号","//www.huimg.cn/entry/images/summary_default270x233.png","农作物##植物##生物##自然","富优1号，水稻品种，属籼型三系杂交水稻。西南农业大学选育。","中文学名：##界：##门：##纲：##目：##科：","富优1号##植物界##被子植物##单子叶植物##禾本目##禾本科"
